netA,netB,pvalue,percentage,stim1,stim2,pill,sign
salience,subcort,0.21156073707919454,0.0,alc,alc,cortisol,pos
salience,cerebell,0.25082981440779595,0.5,alc,alc,cortisol,pos
subcort,medfront,0.23013088882649946,0.0,alc,alc,cortisol,pos
subcort,frontoparietal,0.2968712952741621,0.0,alc,alc,cortisol,pos
subcort,DMN,0.13279392488682606,0.0,alc,alc,cortisol,pos
subcort,motor,0.25541142685010243,0.0,alc,alc,cortisol,pos
subcort,visA,0.13279392488682606,0.0,alc,alc,cortisol,pos
subcort,visB,0.05982460145689994,0.0,alc,alc,cortisol,pos
subcort,visassoc,0.14100508192997707,0.0,alc,alc,cortisol,pos
subcort,salience,0.21156073707919454,0.0,alc,alc,cortisol,pos
subcort,subcort,0.05982460145689994,0.0,alc,alc,cortisol,pos
subcort,cerebell,0.07751666254894662,0.0,alc,alc,cortisol,pos
cerebell,medfront,0.2719771369946682,0.5,alc,alc,cortisol,pos
cerebell,frontoparietal,0.008947860362783389,4.0,alc,alc,cortisol,pos
cerebell,DMN,0.1589169574802225,1.0,alc,alc,cortisol,pos
cerebell,motor,0.30117700588124796,0.0,alc,alc,cortisol,pos
cerebell,visA,0.1589169574802225,0.5,alc,alc,cortisol,pos
cerebell,visB,0.07186577948715978,0.0,alc,alc,cortisol,pos
cerebell,visassoc,0.1685837911981345,1.5,alc,alc,cortisol,pos
cerebell,salience,0.25082981440779595,0.5,alc,alc,cortisol,pos
cerebell,subcort,0.07751666254894662,0.0,alc,alc,cortisol,pos
cerebell,cerebell,0.08809878524006765,0.0,alc,alc,cortisol,pos
medfront,medfront,0.020952085332129333,0.0,alc,alc,placebo,pos
medfront,frontoparietal,0.02871211693662168,0.0,alc,alc,placebo,pos
medfront,DMN,0.011640047406738518,0.0,alc,alc,placebo,pos
medfront,motor,0.02405609797392627,0.0,alc,alc,placebo,pos
medfront,visA,0.011640047406738518,0.0,alc,alc,placebo,pos
medfront,visB,0.005036965968734153,0.0,alc,alc,placebo,pos
medfront,visassoc,0.012416050567187753,0.0,alc,alc,placebo,pos
medfront,salience,0.019400079011230864,0.0,alc,alc,placebo,pos
medfront,subcort,0.005432022123144642,0.0,alc,alc,placebo,pos
medfront,cerebell,0.006588972289632622,0.0,alc,alc,placebo,pos
frontoparietal,medfront,0.02871211693662168,0.0,alc,alc,placebo,pos
frontoparietal,frontoparietal,0.0381088097522434,0.0,alc,alc,placebo,pos
frontoparietal,DMN,0.015661154692702794,0.0,alc,alc,placebo,pos
frontoparietal,motor,0.032366386364919064,0.0,alc,alc,placebo,pos
frontoparietal,visA,0.015661154692702794,0.0,alc,alc,placebo,pos
frontoparietal,visB,0.006786500366837811,0.0,alc,alc,placebo,pos
frontoparietal,visassoc,0.01670523167221627,0.0,alc,alc,placebo,pos
frontoparietal,salience,0.02610192448783788,0.0,alc,alc,placebo,pos
frontoparietal,subcort,0.00730853885659466,0.0,alc,alc,placebo,pos
frontoparietal,cerebell,0.008874654325864872,0.0,alc,alc,placebo,pos
DMN,medfront,0.011640047406738518,0.0,alc,alc,placebo,pos
DMN,frontoparietal,0.015661154692702794,0.0,alc,alc,placebo,pos
DMN,DMN,0.006137479541734825,0.0,alc,alc,placebo,pos
DMN,motor,0.013121507985777936,0.0,alc,alc,placebo,pos
DMN,visA,0.00634911676731198,0.0,alc,alc,placebo,pos
DMN,visB,0.0027512839325017913,0.0,alc,alc,placebo,pos
DMN,visassoc,0.006772391218466067,0.0,alc,alc,placebo,pos
DMN,salience,0.010581861278853189,0.0,alc,alc,placebo,pos
DMN,subcort,0.002962921158078946,0.0,alc,alc,placebo,pos
DMN,cerebell,0.0035978328348100774,0.0,alc,alc,placebo,pos
motor,medfront,0.02405609797392627,0.0,alc,alc,placebo,pos
motor,frontoparietal,0.032366386364919064,0.0,alc,alc,placebo,pos
motor,DMN,0.013121507985777936,0.0,alc,alc,placebo,pos
motor,motor,0.026680399571081925,0.0,alc,alc,placebo,pos
motor,visA,0.013121507985777936,0.0,alc,alc,placebo,pos
