"Subject","Week","Stim","StimOrd","Cue","Group","Scene","Enc_Trial","Emo","Arous","Crav","EmoRT","ArousRT","CravRT","Stim.1","StimOn","CueID","Block_Recog","Trial_Recog","RecogResp","RecogRT","RecogAcc","RecogConf","Trial_Ret","InOut","InOutResp","InOutRT","InOutAcc","CorrScene","FamScene","CorrLoc","ObjLoc","RetResp","RetRT","RetSpec","RetObj","SceneConf","Trial_Emo","VividResp","VividRT","Emo_Mem","EmoRT_Mem","Arous_Mem","ArousRT_Mem","Crav_Mem","CravRT_Mem","Pill","FirstPill","Emo_Code","Emo_Label","Arous_All","ArousHiLo","Crav_All","CravHiLo","Emo_Code_Mem","Emo_Label_Mem","Arous_All_Mem","ArousHiLo_Mem","Crav_All_Mem","CravHiLo_Mem","Vivid_All","Emo_Dist_All","Emo_Dist","Arous_Dist","Crav_Dist"
"9031","a","alc",2,"alc_w_032.jpg",2,"inside_067_a.jpg",34,50,49,49,472,113,369,"alc",447,"old",1,31,73,35,1,"Uns_Old",35,1,89,878,1,"inside_067_a.jpg","outside_062_a.jpg",4,3,73,1421,0,1,2,18,85,1295,85,1146,89,423,89,60,"Placebo","Placebo",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",2,0,0,0,0
"9031","a","alc",2,"alc_w_043.jpg",2,"inside_047_a.jpg",36,51,50,49,428,471,760,"alc",471,"old",2,3,0,0,NA,NA,21,1,89,923,1,"inside_047_a.jpg","outside_012_a.jpg",4,3,73,931,0,1,1,38,85,477,73,281,85,465,89,425,"Placebo","Placebo",3,"Happy",2,"Low",1,"Low",3,"Happy",2,"Low",1,"Low",2,0,0,0,0
"9031","a","alc",2,"alc_w_050.jpg",2,"inside_062_a.jpg",37,51,50,49,342,376,518,"alc",483,"old",2,10,79,167,1,"Conf_Old",38,1,89,953,1,"inside_062_a.jpg","outside_017_a.jpg",4,3,73,1489,0,1,2,32,85,703,85,1264,85,504,89,99,"Placebo","Placebo",3,"Happy",2,"Low",1,"Low",2,"Neutral",2,"Low",1,"Low",2,1,-1,0,0
"9031","a","tool",1,"tools_b_011.jpg",2,"outside_003_a.jpg",9,51,49,49,566,591,310,"tool",105,"old",1,8,89,1718,4,"Conf_New",23,2,79,338,1,"outside_003_a.jpg","inside_029_a.jpg",2,1,0,0,0,0,1,24,85,538,85,1862,85,2,89,234,"Placebo","Placebo",3,"Happy",1,"Low",1,"Low",2,"Neutral",2,"Low",1,"Low",2,1.4142135623731,-1,1,0
"9031","a","tool",1,"tools_b_014.jpg",2,"outside_035_a.jpg",4,51,50,49,587,1043,313,"tool",41,"old",1,35,79,245,1,"Conf_Old",29,2,79,292,1,"outside_035_a.jpg","inside_070_a.jpg",3,4,73,1900,1,1,1,21,0,0,0,0,0,0,89,21,"Placebo","Placebo",3,"Happy",2,"Low",1,"Low",NA,NA,NA,NA,1,"Low",NA,NA,NA,NA,0
"9031","a","tool",1,"tools_b_017.jpg",2,"inside_031_a.jpg",7,50,49,49,392,1368,347,"tool",83,"old",2,27,73,749,1,"Uns_Old",3,1,89,1063,1,"inside_031_a.jpg","outside_054_a.jpg",4,3,0,0,0,0,1,4,85,1146,85,782,89,308,89,329,"Placebo","Placebo",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",2,0,0,0,0
"9031","a","tool",1,"tools_b_021.jpg",2,"inside_075_a.jpg",3,50,50,49,601,919,349,"tool",26,"old",2,15,89,2,4,"Conf_New",19,1,0,0,0,"inside_075_a.jpg","inside_012_a.jpg",1,2,85,821,0,1,4,35,85,734,89,584,89,205,0,0,"Placebo","Placebo",2,"Neutral",2,"Low",1,"Low",1,"Unhappy",1,"Low",NA,NA,2,NA,-1,-1,NA
"9031","a","tool",1,"tools_b_023.jpg",2,"inside_019_a.jpg",1,50,49,49,1671,998,1066,"tool",4,"old",1,11,79,279,1,"Conf_Old",10,1,79,1189,0,"inside_019_a.jpg","inside_055_a.jpg",1,2,89,2589,1,1,1,30,85,1253,85,378,89,490,89,200,"Placebo","Placebo",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",1,"Low",2,0,0,0,0
"9031","a","tool",1,"tools_b_026.jpg",2,"outside_064_a.jpg",5,51,49,49,1091,300,984,"tool",54,"old",2,34,85,1583,4,"Uns_New",36,2,89,890,0,"outside_064_a.jpg","inside_009_a.jpg",4,3,85,1458,0,0,2,9,85,879,73,259,89,960,89,630,"Placebo","Placebo",3,"Happy",1,"Low",1,"Low",3,"Happy",1,"Low",1,"Low",2,0,0,0,0
"9031","a","tool",1,"tools_b_028.jpg",2,"inside_043_a.jpg",8,51,51,49,582,858,987,"tool",94,"old",1,10,89,709,4,"Conf_New",37,1,79,1891,0,"inside_043_a.jpg","inside_031_a.jpg",4,3,79,2,1,1,2,18,0,0,85,91,89,931,89,1099,"Placebo","Placebo",3,"Happy",3,"High",1,"Low",2,"Neutral",1,"Low",1,"Low",NA,2.23606797749979,-1,-2,0
"9031","a","tool",1,"tools_b_029.jpg",2,"inside_046_a.jpg",10,51,49,49,512,1471,350,"tool",118,"old",1,37,73,562,1,"Uns_Old",20,1,89,1291,1,"inside_046_a.jpg","outside_050_a.jpg",2,1,85,1411,1,1,2,13,0,0,89,658,85,418,85,425,"Placebo","Placebo",3,"Happy",1,"Low",1,"Low",1,"Unhappy",2,"Low",2,"Low",NA,2.44948974278318,-2,1,1
"9031","a","tool",1,"tools_b_034.jpg",2,"inside_036_a.jpg",2,0,50,50,0,6,564,"tool",15,"old",2,36,79,293,1,"Conf_Old",27,1,79,742,0,"inside_036_a.jpg","outside_077_a.jpg",4,3,85,2190,0,0,1,8,73,309,85,375,85,272,85,2,"Placebo","Placebo",NA,NA,2,"Low",2,"Low",2,"Neutral",2,"Low",2,"Low",3,NA,NA,0,0
"9031","a","tool",1,"tools_b_050.jpg",2,"outside_030_a.jpg",6,51,49,49,710,1053,410,"tool",66,"old",2,6,79,2,1,"Conf_Old",38,2,0,0,0,"outside_030_a.jpg","outside_008_a.jpg",3,4,85,1525,0,0,2,26,85,756,85,1303,85,741,89,755,"Placebo","Placebo",3,"Happy",1,"Low",1,"Low",2,"Neutral",2,"Low",1,"Low",2,1.4142135623731,-1,1,0
"9031","a","tool",1,"tools_k_012.jpg",2,"outside_065_a.jpg",18,50,49,49,411,525,398,"tool",217,"old",2,20,73,411,1,"Uns_Old",13,2,89,1473,0,"outside_065_a.jpg","inside_019_a.jpg",1,2,85,2465,0,1,1,39,89,1315,85,1243,89,174,0,0,"Placebo","Placebo",2,"Neutral",1,"Low",1,"Low",2,"Neutral",1,"Low",NA,NA,1,NA,0,0,NA
"9031","a","tool",1,"tools_k_016.jpg",2,"inside_013_a.jpg",11,51,50,49,402,158,293,"tool",129,"old",2,37,79,527,1,"Conf_Old",4,1,89,686,1,"inside_013_a.jpg","inside_057_a.jpg",3,4,85,1831,0,0,1,15,85,1559,0,0,79,478,89,237,"Placebo","Placebo",3,"Happy",2,"Low",1,"Low",NA,NA,4,"High",1,"Low",2,NA,NA,2,0
